company,event_type,sector,from_country,to_country,investment_usd,jobs_created,jobs_lost,bios_score,recommended_action,rationale,summary,source_url
GE Aerospace,expansion,aerospace,,Germany,110000000,,,16,reach_out,"The investment involves high-tech aerospace manufacturing, is confirmed, located in Europe, and aligns with BIOS's service sector.",GE Aerospace is expanding its manufacturing capabilities in Europe with a significant investment aimed at enhancing its additive manufacturing processes.,https://news.google.com/rss/articles/CBMinAFBVV95cUxPWkdsTUdpS0RrNXBLdUdObFJBc3VKMDZmLTNWM1ZXZ3NVUGYtbVh5SWtpV282dGNMem1Tdmk0Nmx1aDh5VUdPSmF3elJpVlhjNEVNa2FoMWVKT19lSWhGbG9DOHRwMlBUVjdJS0syNlFoaXQ0ZHpIcmFnSjA0d0FvanU3YVhNNFZIVk5wVE5ZQnlHMnIyd19MN3NIWEI?oc=5
Lilly,greenfield,pharmaceutical,,Europe,3000000000,,,64,monitor,"The project has high technical complexity and is confirmed, but the urgency is lower, leading to a moderate overall score.","Lilly is planning to establish a new facility in Europe to enhance its oral medicine manufacturing capabilities, aiming to serve patients globally.",https://news.google.com/rss/articles/CBMijAJBVV95cUxPc2FHVkZTdFU0ZmVLVWtBbzM5cEd5a2NkZVF2V3RLT19GYW9LRXd6ZURtQjJvWk9qOXcyemtiZGl1ak14ZThoaHRPdGtuSjdpWUloTW5NX3pJMEgzdk51Mmtjcm9tWkJHYUZEemRkMFJQVUlPU0xIZXpBRUlvVERXZ1d4NXNCQjJwUDZqVUdFSXBQeWlhUW5LLWdFdVp3MEZOdFZJN05xaFBDYTRmTFI5Z1E5Q2ZCcUs2Xy14dkpVT2UyWFpVS1h2a0hqc1FNUDhneFVtOXRiM3dnS0pmQy1GbDNZYU9XYTJOMm9vb3Y3SkR2U1FTcHJpUkxIU2c4MFYyejVfSUw1SllRaFdD?oc=5
GE Aerospace,expansion,aerospace,,Germany,110000000,,,0,tender_watch,"The sector is not aligned with BIOS's services, and the urgency and technical complexity are low.",GE Aerospace is making a significant investment of €110 million in Europe to increase engine output. This expansion aims to enhance their production capabilities in the aerospace sector.,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOV0JkNzA4S2lyOTN3Sm5HX19GUEJUb2tmUklTcHNnQ2hfaVVWelZPZGpCVUV0WVFhS2FRX1hxOXZxbjdUZURGVnFTRnhVamZleUN0MzQyY0NOcHpLOXphYnZTQm56UHVMRVNsYVhyZkRlUDUzeDFLSU5XX1BoSXhQQnp0MlBvZjA0Z2pIMkM1WkxtV3pKZ2t5VXl1dWxZeEl5dmF6bmxDOGg0bnFaQmhsZERwT01TNmR3RW51aU5xLXd4QQ?oc=5
European Commission,expansion,government,Belgium,,,,,0,tender_watch,The event is related to government initiatives rather than a specific industrial relocation or expansion that BIOS typically engages with.,The European Commission has proposed new measures aimed at boosting the EU's industrial capacity and creating jobs. These initiatives are designed to enhance competitiveness and sustainability within the European market.,https://news.google.com/rss/articles/CBMivwFBVV95cUxOck5LdW51X1ZKR29YUUlqblFlNF92dXBtUjZJUmhkUEgzWXdqQWZ0V2dVQ0YyM3ZuclhMV3FrNjJUcEdZSVVxSWZhQVlsZ3VYaVJhaDZiREtpUk9ISENtTC1lU1FEYjJmT0lWLVRzSEFiV05wYUJ2ZjIxVFpTWWVUWV9EZVVaMGVWT056RDFPaWVkckl0Rk54dWc4UDF4UTQ1NnhSZ0RnTXgwdnRjZXhhUVVxbnVJOFJaaENFNTI4SQ?oc=5
Bruegel,expansion,automotive,,,,,,0,monitor,"The sector is relevant to BIOS, but specific details on relocation or expansion events are not provided.","Bruegel highlights the potential for growth in battery and electric vehicle manufacturing in Europe, emphasizing the region's strong foundation for this industry.",https://news.google.com/rss/articles/CBMiqAFBVV95cUxNOUhoWDE2SWdZOU9IQTRmUXhyVWtrdXYydzNlNnF3U1I4REFpdmpuclJMWklrWkE5V1hRMXNVdXBZb1JYYjF2d3MzdEk5aGNPYTJVaEZCeGZjYnN6djJJVkVuVkVQSmtZTERzem9pTHp3LVJaeWF1MkFaNW9veV91bWpOVnFjeF9FOVZYOUlsMkktS3hrWnc2OHdPOU5IeWZJREg3Y2dsR3Y?oc=5
Vetter,expansion,pharmaceutical,Germany,Germany,480000000,,,64,monitor,"The expansion in the pharmaceutical sector aligns with BIOS's services, but the urgency is long-term, leading to a moderate score.",Vetter is planning a significant expansion in Germany with an investment of €480 million to establish a new plant. This move is crucial for enhancing their production capabilities in the pharmaceutical sector.,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPTUd2TktTUFlHNHZQT0ZFR2Q4TVp2azdzbDY1SFkxS3dvSU5wWUREV3BPR2pUQ29IS0hOSEwzRmRyVU5qMXBUOTFZYzdVcXFtVnI1WEJaRGx0RE80MU1SenMwTWNEb192UkRodEpLMmh2Q2hPcThHM1BCNUt0ZkJTYnZHZ1VfWXJUT0ZlYkNRMDBTZ1lacEN4SndYa25vYVlaWGZKLWZITzVoVnljaGVFWTg3WE1nYXgzdHU4WVVGV0ZibTA?oc=5
Cambrex,expansion,pharmaceutical,Italy,USA,120000000,,,16,monitor,"The project involves a high-tech pharmaceutical expansion with confirmed relocation, located in Europe, and aligns with BIOS's service sector.",Cambrex is expanding its API plant in Iowa with a $120 million investment and is also building out R&D facilities in Italy. This expansion is significant for enhancing their production capabilities and research efforts.,https://news.google.com/rss/articles/CBMirAFBVV95cUxNTWl4WDZYeTd3Z0NxNDJJSlVfaHZSS1ZJd3VORXVHYnlXWmZzN0ZOZGNNUzdpSUtSamthYUJ4VjQzLWVKM2xPbkhmSld3SkdjUGNtRjVHQzF2SXQxX3ZRcEtGcm5GMHFkQnlLLUlPSmxHcC1VUkZSMkRYOFNHNmo4Vy11emIzVGtONm5XbEl1SXZ1emZfNDN5cmdhRjdqcmk5NURvazh4UE1tTVJt?oc=5
Toyota,expansion,automotive,,Poland,,,,80,reach_out,"The project involves a complex automotive manufacturing process, is confirmed, located in Europe, aligns with BIOS's sector focus, and is somewhat urgent.","Toyota has announced a new investment in a circular factory in Poland, aiming to enhance its production capabilities and sustainability efforts. This expansion reflects Toyota's commitment to innovative manufacturing processes.",https://news.google.com/rss/articles/CBMimAFBVV95cUxPLWd6Q2F4ZUwzZmptS3dRVWoxX0RPbHU1NGltZWF3LW9FY1Zub1ZRQjU3VmJ2NllsTDlTQnJaaDNrdnJuaUpkU2NXRnB6RWhHR3h5SkZTQ29wQ19GUEREWVpPR0s5YjdsTVkwOG9ELUlfeXZmMVJ4UFotRDJEcV9QczFtZklaMTk5QnpwVVU3TWFmVlE2UG84SA?oc=5
Unilever,expansion,food,,Poland,,,,38,tender_watch,"The score is low due to the sector fit and urgency, indicating that BIOS should monitor the situation for potential future opportunities.","Unilever is planning to expand its food factory in Poland, which is expected to enhance its production capabilities in the region.",https://news.google.com/rss/articles/CBMijwFBVV95cUxOM0NwdDEtSTl3djlsZUtKNktkTEJCc3BUVEJrZ1FBcF82NEFhamp5T0VpRndFV01iZnhlOFFsOGFJZEVjdm0ySnZRUXpMRXR4T09RMGxXZ0NtQVo4X0ZNQTRRZ040ZjlQVW1WR0hoVlRLcXJUdTZqWm9CdU9EaElCVEJsNjh0NkZEV1lwVjFmRQ?oc=5
Stellantis,closure,automotive,France,,,,,56,monitor,"The closure of the plant indicates a shift in operations, which may require new systems and services that BIOS can provide, but the immediate urgency is low.","Stellantis has announced the closure of its Poissy plant in France, which will cease car production and transition to focus on parts and recycling operations.",https://news.google.com/rss/articles/CBMijgFBVV95cUxQNGZpN1hTNF9VYy1YWkh5dlIzVDBhMllXTlN0SC0wa2pTRVJQVjE4T19xVUFDX1Z6S2JuaUlQdkNtckRwc2ZHaXhmbnEtSWM5Q29IcEJZWm9icUFxYjBtWHk4ODRiLWZ1aERvWkR3eHZXRFVoYmtqUmU5RkNsWWR0cU9va3IzYnlLUTVPZGVB?oc=5
Nissan,fdi_announcement,automotive,,United Kingdom,,,,76,monitor,"The project involves a high-tech automotive sector with confirmed relocation plans in Europe, but lacks immediate urgency.",Nissan is in discussions with Chery to establish a car manufacturing facility in the UK. This potential investment highlights the growing collaboration between the two companies in the automotive sector.,https://news.google.com/rss/articles/CBMifkFVX3lxTE84SE81bjNHUFc5NkdkeG1nMnB1MGc2LTZjZGZkcWpXdmp4eTZrd0syWXZsLUdnYlVodnZnaWx1UzZKRzk0ZnkzclNuWE4welI4VWtReWNVczZydkFRM2JiQ0RXbVNOU203V2ZmVEc1RmNzLWxRTmpKR2FpLS1rUQ?oc=5
Stellantis,closure,automotive,Germany,,,,,0,tender_watch,"While the technical complexity and sector alignment are high, the closure does not present immediate opportunities for BIOS services.","Stellantis is implementing a phased closure of its Opel car plants in Europe, which is expected to impact production and employment significantly. This decision reflects the company's strategy to streamline operations amid changing market conditions.",https://news.google.com/rss/articles/CBMiaEFVX3lxTE45MFdfZkxQWHpfdVhlMkJkeWRYRUZCaWV5Z211NmgwZWV0c25lVjFGX2ZVbllvOFVxaGREaWpraVRDWXhwRGxYdXBNT2E0MHM2Q3ZmaFZnX2p2ajlCblVTWnpHQURsaklm?oc=5
Nissan,closure,automotive,United Kingdom,,,,,50,monitor,"The situation is serious but not confirmed, and while it is in the automotive sector, the geographical location is outside of Europe.","Nissan has issued a warning regarding the potential closure of its Sunderland car factory, citing an 'existential threat' posed by the European Union. This situation raises concerns about the future of the facility and its workforce.",https://news.google.com/rss/articles/CBMikgFBVV95cUxQamRPNTZmYWVVZkhXSkt2c2IteXJfajBBYTJvVjIzcGV4WjN0MW01LW95UHZUaXhGUGxRcEJZN0FrOUdFeEZjYXMtOGxvbzBCN0Q0d3ZoODlkV0FScTJrV2VrNUtlVFR2Mi1RU3VXQ3dTV29HVEFGZXVEVnI4REprQklMWGJ5MFBKOHBtcEpwYkxSdw?oc=5
Volkswagen,closure,automotive,Germany,,,,,0,tender_watch,"The event is a closure, which typically does not create opportunities for BIOS services, resulting in a low overall score.","Volkswagen is set to close its production facility in Wolfsburg, marking the first closure in its 88-year history. This significant move reflects the challenges the automotive industry is facing in Germany.",https://news.google.com/rss/articles/CBMicEFVX3lxTE5lWVVVMGhlSWdfSFNwWTF5b09iV1F0bDVqRjJ3bEJUVjViVGM5ejdyQ0dXb3JtUDR1TkRCakk1a1A1VF9ic3dFN2l6Ul9DUzgyRW1TOTU3VkszS0ljdzlaMkJ5eEN6X2FORlpvbXcxZ0c?oc=5
Stellantis,closure,automotive,Italy,,,,,56,monitor,"The event involves a potential closure in the automotive sector, which aligns with BIOS's services, but the urgency is low.","The former CEO of Stellantis has raised concerns about the potential closure of European car plants or their takeover by Chinese companies, highlighting the possibility of protests and unrest.",https://news.google.com/rss/articles/CBMiggJBVV95cUxNZHZjZExyUUtIT1hzeDJCZGlleld5N2M1bXVyMkJ4cVR1ZkRuR3RldlFFTlVSNUxUdktuaHhDTGJ2dEV3M2lLNjJ1WDl1amFqcHgzdUtsN1dfczU2N2VwTVR0VEZyM3A3ZUlDUWQ1NFhXZTJySTIxdXljQ3BCaHNXbWFCUi1hbEpNRV9YV0M5ckNKZUV3dHlYV2tJNlE0N2F0aHktbC1xb2ZtYWNxMktaVTdPTFREYzluNmgyUFQ5N3pWZ09rTDFZYVB0bEp0bEk4UWZmVG5OVVFDQktDN3VkQWJFUUNyN0Q4ODVhd2liNlN2empQZy1UZkJrRDE0RDkxQVE?oc=5
Nissan,closure,automotive,United Kingdom,,,,,56,monitor,"The closure of the Sunderland plant presents a moderate opportunity for BIOS, given the technical complexity and sector alignment, but the geographical mismatch and urgency reduce the overall score.",Nissan has issued a warning regarding the potential closure of its Sunderland plant due to new EU regulations that may adversely affect UK Autocar. This situation highlights the challenges faced by the automotive industry in the UK amidst changing trade rules.,https://news.google.com/rss/articles/CBMiswFBVV95cUxQTTg1aGxrR3luZG5vbUJROTVxM29NU1ZBQUI5c1N6OEtVX2xvOFZDQ2tiWHR2M3I1eUxuX0lKXzhqY3Q5XzZvQ1Z1M3l2U1NrWXlsb1ZKRlItV0pUV1UzdDg3MENkeWJaNzJOSG14SUFROHdpRVhzN2F3NlpVMW0wTlBHZEJMaVZTOUJwNlpRLWNKRTg3VV9OeUwwRXBhQmI3VE9CcFg1bjRNamNuMGVrRUY0Zw?oc=5
Automotive Manufacturing Solutions,closure,automotive,,,,,,64,monitor,"The score indicates a strong fit for BIOS services, particularly in the automotive sector, but the urgency is moderate.",Automotive Manufacturing Solutions is facing production cuts due to overcapacity in the automotive sector. This situation highlights the challenges faced by car manufacturers in Europe as they adjust to market demands.,https://news.google.com/rss/articles/CBMivAFBVV95cUxNNDVjZXlYTTNRSGlrUWhOTE1DQUVwcElkY3NsdVR5YVZDeUJyTnhuLXdaUF9wdWFaYlN3bU9HdGg1VmlKRHJfTnllSEhZZUxxa2NBQjBaV0h6cDdPYXFrT29LWkF4VzI4UHFrNlZfZ1ZTME9HTFNDbkdzTUtZdlhRRk91bVgyN3VsT3ZwSGV0cG9zcHJxVG53TWRQRDA5QktXdTFzV1k3eGt2UUJVVUFzeTF0NENCRHVCX09Tdg?oc=5
